Clusterid,RA_thiswork,Dec_thiswork,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade_thiswork,Grade_thiswork_by_LR,NUM_OF_IMG,Name_D22,RA_D22,Dec_D22,Grade_D22
2414227,7.2226102,31.6230326,0.89,0.57,1.24298379,1.24298379,1.24298379,B,C,2,DESI-007.2226+31.6230,7.2226,31.623,C
2416574,238.7626755,31.3125247,0.98,0.74,1.636780177,1.636780177,1.636780177,A,C,2,DESI-238.7627+31.3125,238.7627,31.3125,B
2420745,151.5763876,30.67665113,0.93,0.77,0.88881064,0.88881064,0.88881064,A,C,2,DESI-151.5764+30.6767,151.5764,30.6767,C
2427654,146.6862612,29.82339523,0.96,0.68,1.346165911,1.346165911,1.346165911,A,A,2,DESI-146.6863+29.8234,146.6863,29.8234,A
2430101,115.055987,29.44640545,0.96,0.83,2.662665416,2.662665416,2.662665416,A,C,2,DESI-115.0560+29.4464,115.056,29.4464,C
2433802,353.4532906,28.90349252,0.92,0.68,0.778758123,0.778758123,0.778758123,A,C,2,DESI-353.4533+28.9035,353.4533,28.9035,C
2435479,270.3687609,28.66602115,0.94,0.77,0.580404478,0.580404478,0.580404478,A,C,2,DESI-270.3688+28.6660,270.3688,28.666,C
2447360,223.9080992,27.12279334,0.97,0.9,0.946229209,0.946229209,0.946229209,A,C,2,DESI-223.9081+27.1228,223.9081,27.1228,C
2452111,165.5868421,26.40797213,0.98,0.89,1.397570129,1.397570129,1.397570129,A,C,2,DESI-165.5868+26.4080,165.5868,26.408,C
2454916,112.115881,26.1172021,0.95,0.89,2.145158841,2.145158841,2.145158841,A,B,2,DESI-112.1159+26.1172,112.1159,26.1172,C
2459355,14.53967939,25.4099844,0.97,0.74,0.828988453,0.828988453,0.828988453,A,B,2,DESI-014.5397+25.4100,14.5397,25.41,A
2467871,125.9211622,24.30148255,0.99,0.86,0.633327887,0.633327887,0.633327887,A,C,2,DESI-125.9212+24.3015,125.9212,24.3015,C
2473725,170.6459781,23.4430641,0.89,0.76,0.71423255,0.71423255,0.71423255,A,C,2,DESI-170.6460+23.4431,170.646,23.4431,A
2474864,7.568545608,23.35367672,0.97,0.66,0.822015957,0.822015957,0.822015957,C,C,2,DESI-007.5685+23.3537,7.5685,23.3537,C
2475602,145.6458517,23.17500756,0.96,0.96,2.457047464,2.457047464,2.457047464,A,A,2,DESI-145.6459+23.1750,145.6459,23.175,C
2480289,12.00657724,22.60410829,0.97,0.8,2.283291126,2.283291126,2.283291126,B,B,2,DESI-012.0066+22.6041,12.0066,22.6041,C
2481044,192.6941354,22.43231861,0.88,0.85,1.833266668,1.833266668,1.833266668,B,A,2,DESI-192.6941+22.4323,192.6941,22.4323,C
2491837,9.316052761,20.97378117,0.98,0.8,1.019513072,1.019513072,1.019513072,A,C,2,DESI-009.3161+20.9738,9.3161,20.9738,A
2504735,113.6936541,19.25012152,0.98,0.72,1.20351926,1.20351926,1.20351926,A,C,2,DESI-113.6937+19.2501,113.6937,19.2501,B
2514580,38.12995768,17.99308724,0.98,0.77,1.532798773,1.532798773,1.532798773,A,B,2,DESI-038.1300+17.9931,38.13,17.9931,C
