internal_ID,RA,Dec,g,r,z,W1,W2,redshift,Grade
218465,121.1909014,73.86998418,21.60785647,20.62015179,19.97440471,19.44477413,18.94304657,,B
218465,121.1905166,73.87007144,21.56737855,20.76545942,20.29858584,18.87112655,18.79980441,,B
219155,268.484134,73.56491915,20.9096032,20.60576731,20.09706969,18.82607097,18.94369734,,A
219155,268.4850133,73.56444151,18.94523302,18.78638957,18.53193988,18.48714015,18.04161969,,A
219317,207.922504,73.43210775,19.35292436,19.12443293,18.89828356,18.63960389,18.0193785,,C
219317,207.9205715,73.43261474,21.99881372,21.54411333,21.16360838,19.49153452,19.18094856,,C
219361,229.2486993,73.40386148,17.84189663,17.91718611,17.43957185,16.69783366,16.29657662,,B
219361,229.2475072,73.40452217,21.5922612,20.82062739,20.73100239,19.02756927,18.53500551,,B
219665,246.5878859,73.37255747,19.55913956,19.27752717,19.01438752,18.77070313,18.13674423,,C
219665,246.586523,73.37270736,22.26831442,21.96263771,21.69065595,21.06052027,21.26530126,,C
219986,179.3965463,73.17726815,16.77315856,16.57363373,16.2514372,14.85110461,14.21821736,,A
219986,179.3975909,73.17692615,18.55374021,18.7419598,18.29427359,16.88572203,16.53114371,,A
220548,190.0476935,72.99656497,20.54920721,20.446421,20.35905351,19.81498256,19.54955789,,B
220548,190.0481125,72.9972678,21.72987394,21.57790898,21.35462186,19.71205659,19.25849041,,B
221046,210.4054746,72.83638212,19.9552436,19.86309594,19.45397374,19.30224068,18.8846364,,A
221046,210.4066826,72.83679163,21.29069354,20.8636561,20.27526128,19.92781821,19.16559377,,A
221126,272.0411136,72.78576168,22.72131207,22.12067153,21.6574837,20.63137085,19.80634703,,C
221126,272.043185,72.78590971,21.9930328,21.79062428,21.61925426,19.93265562,19.79157012,,C
221330,264.1236242,72.65283998,21.0179183,20.7990378,20.46495424,20.19958573,20.0110026,,A
221330,264.1252777,72.65241946,21.81031631,21.43665118,21.1910955,20.08993828,19.31719679,,A
222395,277.2787137,72.25150191,22.67484252,22.02900005,21.62529973,20.0195822,19.68940029,,C
222395,277.2805253,72.2512762,23.41658846,22.66187408,22.30408228,21.08843025,20.87517398,,C
225028,269.8286848,71.37110437,20.02584017,19.20036915,18.88524728,18.07199276,17.6517882,,A
225028,269.8293555,71.37127533,20.46068586,20.21671521,20.063219,19.35609225,18.5891829,,A
228029,187.7421057,70.3307253,20.61157387,20.35139346,20.13894978,18.5136507,18.14671378,,B
