Clusterid,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_GLQ,in_D22,Grade_by_D22,q,phi,rein,NOTE
2438861,204.1775551,28.21558479,0.98,0.73,2.304781609,2.304781609,2.304781609,C,A,2,FALSE,FALSE,,,,,
2438913,246.8942115,28.20234319,0.97,0.56,2.261249855,2.261249855,2.261249855,C,B,2,FALSE,FALSE,,,,,
2440456,352.2723999,28.00812516,0.94,0.63,1.278575067,1.278575067,1.278575067,A,C,2,FALSE,FALSE,,,,,
2442280,132.0926629,27.76494471,0.89,0.83,1.081289204,1.081289204,1.081289204,B,C,2,FALSE,FALSE,,,,,
2443974,39.87710432,27.57906231,0.94,0.7,1.749660454,1.749660454,1.749660454,C,C,2,FALSE,FALSE,,,,,
2444624,238.55287,27.41810825,0.95,0.84,1.585305007,1.585305007,1.585305007,A,B,2,FALSE,FALSE,,,,,
2444629,342.4152288,27.41856069,0.86,0.74,2.659544774,2.659544774,2.659544774,C,B,2,FALSE,FALSE,,,,,
2446120,330.8859712,27.24549486,0.96,0.56,0.937857409,0.937857409,0.937857409,A,C,2,FALSE,FALSE,,,,,
2446314,194.1656918,27.18190103,0.86,0.61,1.719405361,1.719405361,1.719405361,A,C,2,FALSE,FALSE,,,,,4?
2447360,223.9080992,27.12279334,0.97,0.9,0.946229209,0.946229209,0.946229209,A,C,2,FALSE,TRUE,C,,,,
2448003,113.9582135,26.9754393,0.95,0.63,0.811957935,0.811957935,0.811957935,A,C,2,FALSE,FALSE,,,,,
2448275,204.9419061,26.90547424,0.87,0.86,1.450350328,1.450350328,1.450350328,C,C,2,FALSE,FALSE,,,,,
2449942,327.9579381,26.72355767,0.95,0.89,2.558199875,2.558199875,2.558199875,B,B,2,FALSE,FALSE,,,,,
2451358,147.8440394,26.58723304,0.99,0.91,0.549452408,0.549452126,0.549452267,A,A,2,TRUE,FALSE,,,,,
2452111,165.5868421,26.40797213,0.98,0.89,1.397570129,1.397570129,1.397570129,A,C,2,FALSE,TRUE,C,,,,
2454916,112.115881,26.1172021,0.95,0.89,2.145158841,2.145158841,2.145158841,A,B,2,FALSE,TRUE,C,,,,
2457594,267.2557912,25.65062117,0.93,0.79,2.180747118,2.180747118,2.180747118,B,A,2,FALSE,FALSE,,,,,
2459355,14.53967939,25.4099844,0.97,0.74,0.828988453,0.828988453,0.828988453,A,B,2,FALSE,TRUE,A,,,,
2460417,342.889092,25.36304538,0.87,0.64,1.020970445,1.020970445,1.020970445,C,C,2,FALSE,FALSE,,,,,
2460598,221.1347273,25.31125135,0.97,0.84,2.097781106,2.097781106,2.097781106,C,B,2,FALSE,FALSE,,,,,
2460992,258.3022495,25.20827543,0.94,0.51,1.974240967,1.974240967,1.974240967,C,C,2,FALSE,FALSE,,,,,
2463082,183.5597796,24.89060589,0.96,0.6,2.055281504,2.055281504,2.055281504,C,B,2,FALSE,FALSE,,,,,
2465877,265.6447225,24.59408121,0.91,0.71,2.30027309,2.30027309,2.30027309,B,B,2,FALSE,FALSE,,,,,
2465883,265.8528837,24.5921894,0.96,0.52,2.122622723,2.122622723,2.122622723,B,B,2,FALSE,FALSE,,,,,
2466267,15.40527082,24.49519725,0.98,0.68,2.846646091,2.846646091,2.846646091,C,B,2,FALSE,FALSE,,,,,
2467871,125.9211622,24.30148255,0.99,0.86,0.633327887,0.633327887,0.633327887,A,C,2,FALSE,TRUE,C,,,,
2469703,172.0769885,24.03815362,0.99,0.92,0.388958206,0.38895808,0.388958143,A,A,2,TRUE,FALSE,,,,,
2471775,36.11973969,23.73887409,0.96,0.66,1.328944138,1.328944138,1.328944138,C,C,2,FALSE,FALSE,,,,,
2472064,124.1427414,23.66306073,0.94,0.73,1.993844446,1.993844446,1.993844446,C,A,2,FALSE,FALSE,,,,,
2473668,132.0910415,23.4589658,0.98,0.56,1.524815265,1.524815265,1.524815265,C,B,2,FALSE,FALSE,,,,,
2473725,170.6459781,23.4430641,0.89,0.76,0.71423255,0.71423255,0.71423255,A,C,2,FALSE,TRUE,A,,,,
2474796,227.7174037,23.36884387,0.97,0.79,2.308084354,2.308084354,2.308084354,B,B,2,FALSE,FALSE,,,,,
2474864,7.568545608,23.35367672,0.97,0.66,0.822015957,0.822015957,0.822015957,C,C,2,FALSE,TRUE,C,,,,
2475602,145.6458517,23.17500756,0.96,0.96,2.457047464,2.457047464,2.457047464,A,A,2,FALSE,TRUE,C,,,,
2476640,167.8997085,23.11504855,0.98,0.76,2.965654301,2.965654301,2.965654301,C,B,2,FALSE,FALSE,,,,,
2476708,202.9463466,23.09262767,0.94,0.7,0.833573174,0.833573174,0.833573174,A,C,2,FALSE,FALSE,,,,,
2477262,260.3698983,22.95568412,0.88,0.77,3.276992908,3.276992908,3.276992908,C,A,2,FALSE,FALSE,,,,,
2479324,160.3596839,22.64286651,0.94,0.75,0.884382135,0.884382135,0.884382135,C,C,2,FALSE,FALSE,,,,,
2480221,330.1332486,22.62054164,0.85,0.8,2.604727445,2.604727445,2.604727445,C,C,2,FALSE,FALSE,,,,,
2480264,159.9774768,22.61048696,0.95,0.77,2.829673547,2.829673547,2.829673547,B,B,2,FALSE,FALSE,,,,,
